日期,股票代码,名称,收盘价,涨跌幅
2016-01-18,'000001,上证指数,2913.8367,0.4435
2016-01-15,'000001,上证指数,2900.97,-3.5469
2016-01-14,'000001,上证指数,3007.649,1.9681
2016-01-13,'000001,上证指数,2949.597,-2.4237
2016-01-12,'000001,上证指数,3022.861,0.2041
2016-01-11,'000001,上证指数,3016.704,-5.326
2016-01-08,'000001,上证指数,3186.412,1.9651
2016-01-07,'000001,上证指数,3125.002,-7.0449
2016-01-06,'000001,上证指数,3361.84,2.2547
2016-01-05,'000001,上证指数,3287.711,-0.2593
2016-01-04,'000001,上证指数,3296.258,-6.8638
2015-12-31,'000001,上证指数,3539.182,-0.943
2015-12-30,'000001,上证指数,3572.876,0.2565
2015-12-29,'000001,上证指数,3563.736,0.8477
2015-12-28,'000001,上证指数,3533.779,-2.5947
2015-12-25,'000001,上证指数,3627.914,0.4271
2015-12-24,'000001,上证指数,3612.485,-0.6492
2015-12-23,'000001,上证指数,3636.089,-0.4293
2015-12-22,'000001,上证指数,3651.767,0.2552
2015-12-21,'000001,上证指数,3642.472,1.7745
2015-12-18,'000001,上证指数,3578.964,-0.0289
2015-12-17,'000001,上证指数,3579.999,1.8148
2015-12-16,'000001,上证指数,3516.187,0.1662
2015-12-15,'000001,上证指数,3510.354,-0.293
2015-12-14,'000001,上证指数,3520.668,2.5065
2015-12-11,'000001,上证指数,3434.581,-0.6052
2015-12-10,'000001,上证指数,3455.495,-0.488
2015-12-09,'000001,上证指数,3472.439,0.0683
2015-12-08,'000001,上证指数,3470.07,-1.8903
2015-12-07,'000001,上证指数,3536.927,0.3386
2015-12-04,'000001,上证指数,3524.992,-1.669
2015-12-03,'000001,上证指数,3584.824,1.3548
2015-12-02,'000001,上证指数,3536.905,2.3319
2015-12-01,'000001,上证指数,3456.309,0.3165
2015-11-30,'000001,上证指数,3445.405,0.2649
2015-11-27,'000001,上证指数,3436.303,-5.4806
2015-11-26,'000001,上证指数,3635.552,-0.3393
2015-11-25,'000001,上证指数,3647.93,0.8799
2015-11-24,'000001,上证指数,3616.113,0.1605
2015-11-23,'000001,上证指数,3610.32,-0.5558
2015-11-20,'000001,上证指数,3630.5,0.3715
2015-11-19,'000001,上证指数,3617.062,1.3618
2015-11-18,'000001,上证指数,3568.468,-1.0077
2015-11-17,'000001,上证指数,3604.795,-0.0599
2015-11-16,'000001,上证指数,3606.957,0.7294
2015-11-13,'000001,上证指数,3580.839,-1.4331
2015-11-12,'000001,上证指数,3632.902,-0.4752
2015-11-11,'000001,上证指数,3650.249,0.2682
2015-11-10,'000001,上证指数,3640.485,-0.1754
2015-11-09,'000001,上证指数,3646.881,1.5835
2015-11-06,'000001,上证指数,3590.032,1.9079
2015-11-05,'000001,上证指数,3522.819,1.8262
2015-11-04,'000001,上证指数,3459.64,4.3099
2015-11-03,'000001,上证指数,3316.695,-0.2523
2015-11-02,'000001,上证指数,3325.085,-1.6992
2015-10-30,'000001,上证指数,3382.561,-0.1403
2015-10-29,'000001,上证指数,3387.315,0.3591
2015-10-28,'000001,上证指数,3375.196,-1.722
2015-10-27,'000001,上证指数,3434.336,0.1386
2015-10-26,'000001,上证指数,3429.581,0.5025
2015-10-23,'000001,上证指数,3412.434,1.2971
2015-10-22,'000001,上证指数,3368.739,1.4474
2015-10-21,'000001,上证指数,3320.676,-3.0553
2015-10-20,'000001,上证指数,3425.33,1.1406
2015-10-19,'000001,上证指数,3386.7,-0.1372
2015-10-16,'000001,上证指数,3391.352,1.5961
2015-10-15,'000001,上证指数,3338.073,2.3183
2015-10-14,'000001,上证指数,3262.441,-0.9349
2015-10-13,'000001,上证指数,3293.23,0.1694
2015-10-12,'000001,上证指数,3287.662,3.2832
2015-10-09,'000001,上证指数,3183.152,1.266
2015-10-08,'000001,上证指数,3143.357,2.967
2015-09-30,'000001,上证指数,3052.781,0.482
2015-09-29,'000001,上证指数,3038.137,-2.0195
2015-09-28,'000001,上证指数,3100.756,0.2719
2015-09-25,'000001,上证指数,3092.347,-1.6018
2015-09-24,'000001,上证指数,3142.687,0.8601
2015-09-23,'000001,上证指数,3115.888,-2.1889
2015-09-22,'000001,上证指数,3185.619,0.9212
2015-09-21,'000001,上证指数,3156.54,1.8923
2015-09-18,'000001,上证指数,3097.917,0.3842
2015-09-17,'000001,上证指数,3086.061,-2.1001
2015-09-16,'000001,上证指数,3152.263,4.8946
2015-09-15,'000001,上证指数,3005.172,-3.5195
2015-09-14,'000001,上证指数,3114.798,-2.6697
2015-09-11,'000001,上证指数,3200.234,0.0732
2015-09-10,'000001,上证指数,3197.893,-1.3936
2015-09-09,'000001,上证指数,3243.089,2.2911
2015-09-08,'000001,上证指数,3170.452,2.9227
2015-09-07,'000001,上证指数,3080.42,-2.5235
2015-09-02,'000001,上证指数,3160.167,-0.2039
2015-09-01,'000001,上证指数,3166.624,-1.2278
2015-08-31,'000001,上证指数,3205.986,-0.8156
2015-08-28,'000001,上证指数,3232.35,4.8242
2015-08-27,'000001,上证指数,3083.591,5.3395
2015-08-26,'000001,上证指数,2927.288,-1.2708
2015-08-25,'000001,上证指数,2964.967,-7.6307
2015-08-24,'000001,上证指数,3209.905,-8.4909
2015-08-21,'000001,上证指数,3507.744,-4.2722
2015-08-20,'000001,上证指数,3664.291,-3.4216
2015-08-19,'000001,上证指数,3794.109,1.2258
2015-08-18,'000001,上证指数,3748.164,-6.1473
2015-08-17,'000001,上证指数,3993.668,0.7145
2015-08-14,'000001,上证指数,3965.335,0.2726
2015-08-13,'000001,上证指数,3954.556,1.7558
2015-08-12,'000001,上证指数,3886.32,-1.0588
2015-08-11,'000001,上证指数,3927.908,-0.0129
2015-08-10,'000001,上证指数,3928.415,4.9199
2015-08-07,'000001,上证指数,3744.205,2.2577
2015-08-06,'000001,上证指数,3661.539,-0.8941
2015-08-05,'000001,上证指数,3694.573,-1.6497
2015-08-04,'000001,上证指数,3756.545,3.6888
2015-08-03,'000001,上证指数,3622.905,-1.1142
2015-07-31,'000001,上证指数,3663.726,-1.1344
2015-07-30,'000001,上证指数,3705.766,-2.2011
2015-07-29,'000001,上证指数,3789.168,3.4443
2015-07-28,'000001,上证指数,3663.002,-1.6791
2015-07-27,'000001,上证指数,3725.558,-8.4834
2015-07-24,'000001,上证指数,4070.908,-1.2855
2015-07-23,'000001,上证指数,4123.923,2.4311
2015-07-22,'000001,上证指数,4026.045,0.2083
2015-07-21,'000001,上证指数,4017.675,0.6404
2015-07-20,'000001,上证指数,3992.11,0.8783
2015-07-17,'000001,上证指数,3957.352,3.5095
2015-07-16,'000001,上证指数,3823.176,0.4591
2015-07-15,'000001,上证指数,3805.703,-3.0267
2015-07-14,'000001,上证指数,3924.487,-1.1561
2015-07-13,'000001,上证指数,3970.388,2.3876
